,titulo,data,empresa,localizacao,descricao
73,Líder de Suporte Produção- Baixa Plataforma,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:       Suporte a sistemas operacionais Windows Server ou Linux;     Gestão de inventário de servidores, desktops e ativos de rede;     Criação e manutenção de rotinas de backup e Disaster Recovery ;     Definição e manutenção de políticas de backup ;      Instalação, configuração e suporte a VTL ( Virtual Tape Library ) ou a Tape Library ;     Criação e manutenção de jobs , alertas e serviços;     Administração e suporte a ferramenta de controle e automação da produção;     Administração e suporte a ferramenta de backup e restore ;     Administração e suporte a ferramenta de gestão de ambiente;     Suporte a ferramenta transmissão e recepção de arquivos de dados e bancários;     Criação e manutenção de scripts utilizando em Shell Script , VBscript ou Power Shell ;     Execução de consultas em Banco de Dados utilizando a linguagem SQL;      Implantação de processos ou sistemas em...
    "
74,Analista de Monitoramento de Aplicações Sênior,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:      Atendimento a desenvolvedores na solução de problemas relacionados ao desempenho das aplicações, inclusive na documentação do problema ocorrido e da solução adotada;    Inspeção de código de softwares, componentes e serviços para a identificação e analise de causa e raiz de um incidente, identificação de dependências de aplicações com problemas de performance além de lentidão em queries SQL;       Definição e garantia da aplicação de boas práticas de programação e de padrões de projeto de software que garantam um bom desempenho das aplicações;      Proposição e avaliação de ferramentas, tecnologias e plataformas que auxiliem no monitoramento do desempenho das aplicações;      Proposição de estratégias para a implementação de ajustes diagnosticados por ferramenta de gerenciamento de performance de aplicações.      Requisitos:    Formação : Nível superior completo na área de...
    "
75,Analista de Infraestrutura Sênior,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg á Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:      Administração e suporte a sistemas operacionais Windows Server, Linux ou Unix;   Administração e suporte ao AD ( Active Directory ) ou ao LDAP ( Lightweight Directory Access Protocol );   Administração e suporte a ambientes de intranet/internet/extranet utilizando MS-IIS ( Internet Information Service ) ou Apache/Tom Cat;   Administração e suporte de softwares voltados para criação de portais, gestão de conteúdo, gestão documental e publicação de aplicações web;   Administração e suporte a ferramenta de gestão de ambiente;   Suporte e administração de storages de médio ou grande porte;   Instalação, configuração e suporte a rede SAN ( Storage Area Network );  Instalação, configuração e suporte a VTL ( Virtual Tape Library );   Administração e suporte de ambientes com arquitetura orientada a serviços (SOA);   Administração e suporte de soluções baseadas em webservices;...
    "
76,Líder de Service Desk Pleno,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Liderança ou coordenação de equipe por no mínimo 02 (dois) anos;   Suporte a Windows 7/8/10 ou superior;  c) Suporte a ferramentas de automação de escritório local ou na nuvem;    Diagnóstico e solução de problemas de hardware para microinformática;   Suporte a aplicativos e ferramentas para microinformática tais como: antivírus, leitor de arquivos PDF; navegadores web, dentre outros;   Administração em redes TCP/IP ;     Conhecimentos avançados em ITIL v3 ou superior.       Requisitos:    Formação:  Nível superior completo na área de tecnologia.   Possuir  pelo menos uma das seguintes certificações:             ITIL Foundation versão 03 ou superior.
         MCP (Microsoft Certified Professional) em Windows 7 ou superior.
         ISO 20000 Foundation.
   A vaga se estende para portadores de deficiência.      Benefícios: Nenhum benefício informado  
    "
77,Analista de Suporte Desktops,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:           Suporte a Windows 7/8/10 ou superior;    Suporte a ferramentas de automação de escritório local ou na nuvem;    Diagnóstico e solução de problemas de hardware para microinformática;    Suporte a aplicativos e ferramentas para microinformática tais como: antivírus, leitor de arquivos PDF; navegadores web, dentre outros;       Conhecimentos básicos em redes TCP/IP.      Requisitos:    Formação:  Nível Médio completo   Certificações exigidas, pelo menos 1 delas:   • MCP ( Microsoft Certified Professional ) em Windows 7 ou superior;   • MTA ( Microsoft Technology Associate ) em Windows 10 ou superior;   • MCSA ( Microsoft Certified Solutions Associate ) em Windows 10 ou superior.       Benefícios: Assistência médica, Assistência odontológica, Day Off, Seguro de Vida, Vale-refeição, Vale-transporte  
    "
78,Desenvolvedor Backend Java,14/05/2020,Improving,"São Paulo, State of São Paulo, Brazil","
         Que tal trabalhar numa empresa    premiada pelo Oscar da comunidade Java , como desenvolvedor backend, podendo focar na área que mais gosta, construindo uma aplicação com    dezenas de milhões de acessos , usando microsserviços, Big Data e várias tecnologias modernas? 
 Você será contratado em    regime CLT full    para trabalhar na região do Jaguaré em São Paulo, a 20 minutos a pé da estação Villa-Lobos da CPTM e com estacionamento gratuito para funcionários. A empresa iniciou suas atividades há 12 anos como startup e hoje já conta com cerca de 240 funcionários, sendo 25 diretamente técnicos, não incluindo neste número a área de negócios, produto e outras correlatas. O crescimento continua forte pela atuação no segmento de comércio eletrônico de produtos de beleza, que não arrefece com a crise. 
  Quer você esteja iniciando na carreira ou já seja experiente, você poderá:  
  Criar e evoluir um backend moderno, baseado em Java SE 8, 9 ou 10, Kotlin, Groovy, com mais de 50...
    "
79,Desenvolvedor Java,13/05/2020,PSM Company,"São Paulo, Brazil","
         Java 
 Struts 
 Servlet 
 SQL 
 Hibernate  
 Tomcat 
 Angular 
  
    "
80,Desenvolvedor Java Pleno,13/05/2020,PSM Company,São Paulo,"
          Requisitos:  
 - Ensino superior completo 
 - Experiencia em projetos de implementação de sistemas 
 - Experiencia anterior na função 
 - Experiencia com Angular 
 -  Experiencia em versionamento e programação responsiva 
   
  Responsabilidades:  
   
 Aplicação de metodologia ágil 
 Acompanhar desenvolvimentos de pequeno porte 
 Automatizar rotinas manuais 
 Desenvolver relatórios gerenciais e elaborar documentação de processos 
   
    "
81,Arquiteto de Sofware Java- Home Office,13/05/2020,PSM Company,São Paulo,"
         Já pensou em trabalhar no conforto da sua casa? 
 Venha fazer parte do nosso time! 
 Graduado em Engenharia de Software, Ciência da Computação ou similar. 
  Experiência anterior como arquiteto de softwares. 
 Experiência em coleta de requisitos, projeto de soluções e atividades de pré-vendas. 
 7 anos de desenvolvimento de aplicações em tempo integral em Java (Java SE / EE, Hibernate, Spring, Open Source, Jenkins, Sonar). 
 Experiência com servidores de aplicativos como Tomcat, Websphere, Weblogic e JBoss.  
 Conhecimento em modernas plataformas e frameworks de microsserviços como Kubernetes, containers, Spring Boot, Kafka e Zipkin. 
 Familiaridade com conceitos e técnicas de modelagem de dados, incluindo modelo dimensional, análise, processamento de fluxo, aprendizado de máquina e estruturas modernas de processamento de dados, como o Apache Spark. 
 Experiência com desenvolvimento web, incluindo REST, JavaScript, Angular e React JS. 
 Subestimação do perfil de tempo de execução...
    "
82,Consultor de BI Sênior,13/05/2020,PSM Company,São Paulo,"
          Experiência nas seguintes tecnologias: • Microsoft SQL Server 2016 • SQL Server Integration Services • Azure • SQL DB • Synapse Analytics / SQL DW • Data factory • Event Hub • Blob Storage • Data Lake Gen 2 • Polybase • SQL Server Data Tools • Azure DevOps  
    "
